Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",141.750000,-89.000000,180.000000,bottom
"C2","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",136.500000,-83.750000,-0.000000,bottom
"C3","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",149.225000,-81.500000,180.000000,bottom
"C4","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",141.500000,-74.000000,180.000000,bottom
"C5","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",186.000000,-79.000000,180.000000,bottom
"C6","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",166.750000,-81.000000,180.000000,bottom
"C7","27pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",171.250000,-64.500000,90.000000,bottom
"C8","27pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",175.000000,-64.500000,90.000000,bottom
"C9","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",155.650000,-61.250000,180.000000,bottom
"C10","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",171.650000,-62.750000,0.000000,bottom
"C11","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",155.400000,-63.750000,180.000000,bottom
"C12","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",154.900000,-66.750000,180.000000,bottom
"C13","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",155.650000,-62.250000,180.000000,bottom
"C14","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",171.650000,-61.750000,0.000000,bottom
"C15","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",164.400000,-54.500000,90.000000,bottom
"C16","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",160.900000,-54.500000,90.000000,bottom
"C17","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",159.400000,-69.250000,270.000000,bottom
