Comment,Designator,Footprint,LCSC
SPI_OLED_SSH1106,U2,keygame:SPI_OLED,
100nF,"C4,C1,C2,C3,C5,C6,C22,C20,C19,C10,C9,C18,C17,C16,C15,C14,C13",Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
RIGHT,SW1,Button_Switch_THT:SW_PUSH_6mm,
LEFT,SW2,Button_Switch_THT:SW_PUSH_6mm,
A,SW4,Button_Switch_THT:SW_PUSH_6mm,
B,SW3,Button_Switch_THT:SW_PUSH_6mm,
DOWN,SW5,Button_Switch_THT:SW_PUSH_6mm,
UP,SW6,Button_Switch_THT:SW_PUSH_6mm,
1k,"R2,R3,R4,R5,R6,R7,R10,R9",Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
R_POT,RV1,Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical,
W25Q128JVS,U3,Package_SO:SOIC-8_5.23x5.23mm_P1.27mm,
10k,"R19,R8",Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
NCP1117-3.3_SOT223,U4,Package_TO_SOT_SMD:SOT-223-3_TabPin2,
10uF,"C21,C23",Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
500mA Hold,F1,Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
SW_SPST,"SW7,SW9",Button_Switch_SMD:SW_SPST_PTS810,
RP2040,U1,keygame:RP2040-QFN-56,
4.7k,"R15,R13",Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
200,"R17,R16",Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
300,R14,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
1uF,"C11,C12",Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
27,"R12,R11",Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
27pF,"C8,C7",Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
12MHz,Y1,Crystal:Crystal_HC52-8mm_Vertical,
100,R1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
Speaker,LS1,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
56k,R18,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
USB_C_CONNECTOR,P1,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,
SWD_CONNECTOR,J4,Connector_PinHeader_1.00mm:PinHeader_2x05_P1.00mm_Vertical_SMD,
POWER_HEADER,J2,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,
DEBUG_HEADER,J1,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,
UART_HEADER,J3,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,
RED,D1,LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,
GRN,D2,LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,
BLU,D3,LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,
