Designator,Mid X,Mid Y,Layer,Rotation
C1,141.75,-89.0,B,180.0
C10,171.65,-62.75,B,0.0
C11,155.4,-63.75,B,180.0
C12,154.9,-66.75,B,180.0
C13,155.65,-62.25,B,180.0
C14,171.65,-61.75,B,0.0
C15,164.4,-54.5,B,90.0
C16,160.9,-54.5,B,90.0
C17,159.4,-69.25,B,270.0
C18,158.4,-69.25,B,270.0
C19,155.65,-65.25,B,180.0
C2,136.5,-83.75,B,0.0
C20,164.4,-69.25,B,270.0
C21,185.5,-48.25,B,180.0
C22,152.35,-63.55,B,0.0
C23,185.75,-37.25,B,0.0
C3,149.225,-81.5,B,180.0
C4,141.5,-74.0,B,180.0
C5,186.0,-79.0,B,180.0
C6,166.75,-81.0,B,180.0
C7,171.25,-64.5,B,90.0
C8,175.0,-64.5,B,90.0
C9,155.65,-61.25,B,180.0
D1,175.07,-19.8425,B,90.0
D2,176.12,-19.84,B,90.0
D3,175.56,-18.15,B,180.0
F1,174.3,-40.1,B,90.0
J1,152.5,-21.0,T,90.0
J2,138.0,-31.0,T,0.0
J3,140.54,-48.78,T,180.0
J4,185.3,-56.17,B,0.0
LS1,184.0,-65.0,T,270.0
P1,186.25,-30.11,B,270.0
R1,183.08,-67.73,B,0.0
R10,171.65,-60.75,B,180.0
R11,178.0,-32.2,B,180.0
R12,178.0,-33.8,B,180.0
R13,171.65,-58.75,B,180.0
R14,174.02,-19.86,B,90.0
R15,171.65,-59.75,B,180.0
R16,177.18,-19.86,B,90.0
R17,175.56,-17.08,B,180.0
R18,179.0,-31.0,B,180.0
R19,139.65,-63.2,B,270.0
R2,141.5,-72.75,B,180.0
R3,141.75,-87.75,B,180.0
R4,136.5,-85.0,B,0.0
R5,149.25,-80.25,B,180.0
R6,186.0,-77.67,B,180.0
R7,166.725,-79.75,B,180.0
R8,134.5,-63.5,B,90.0
R9,140.7,-63.2,B,90.0
RV1,157.0,-93.0,T,0.0
SW1,152.0,-77.0,T,0.0
SW2,137.0,-77.0,T,0.0
SW3,169.625001,-75.675001,T,0.0
SW4,180.0,-71.0,T,0.0
SW5,144.5,-84.5,T,0.0
SW6,144.5,-69.5,T,0.0
SW7,135.5,-59.0,B,90.0
SW9,139.5,-59.0,B,270.0
U1,163.5,-62.0,B,270.0
U2,161.5,-38.0,T,0.0
U3,146.35,-61.55,B,0.0
U4,183.5,-42.75,B,180.0
Y1,175.0,-67.75,B,180.0
